t,vEgo,aEgo,roll,targetLateralAcceleration,steerCommand
0.0,26.03742218017578,0.0412640199065208,0.018001601482247,0.0874589309242226,0.09428831555600631
0.1000000000003638,26.03294445772909,-0.0120518770463645,0.0178581776246379,0.0964171028887039,0.09804600380905834
0.2000000000007276,26.029890291772844,-0.0406243535768384,0.0177147537670287,0.0969358665169387,0.10271074800103412
0.3000000000010914,26.038906509250037,0.0465278557762702,0.0175713299094196,0.0892915451881652,0.10270399408097278
0.4000000000014552,26.03813956454137,0.0280539783631525,0.0174279060518104,0.0801754165173157,0.10213771821771266
0.500000000001819,26.01093087480917,-0.1843988154099159,0.0171936089852999,0.0779808776365138,0.1018692878319813
0.6000000000021828,26.02849752659724,0.0123750869239473,0.0169462037818158,0.0764307422155065,0.09943319367055212
0.7000000000025466,26.012090221765884,-0.0821271413861403,0.0166910296601861,0.0744268695862477,0.10860992698100308
0.8000000000029104,26.020655304500075,-0.003260498428975,0.0164229664554829,0.0757947751856706,0.10675331090127566
0.9000000000032742,26.01542256556377,-0.0332096692413089,0.0161549032507797,0.0580120215912403,0.10706011745232615
1.000000000003638,26.026526082329852,0.061251493016934,0.0159424793255668,0.0589598116702007,0.10590090194420647
1.1000000000040018,26.017458900230416,-0.0233552166486801,0.0157404355602187,0.0565026397150719,0.10520919274487694
1.2000000000043656,26.02834399234654,0.0346606471190634,0.0156048078810891,0.0570511639095567,0.11578987909515874
1.3000000000047294,26.021276848199065,-0.0131552032747173,0.0155863472409766,0.0580386879742021,0.1154075100352813
1.4000000000050932,26.019395413788303,-0.0100828370940107,0.0155678866008642,0.0403574232848236,0.11440593141137814
1.500000000005457,26.01864858750099,-0.0311018542695256,0.0156609817663204,0.041906504551522,0.1137254335552569
1.6000000000058208,26.01330613840122,-0.0279819452139925,0.0157718871823289,0.0446726945176766,0.12839135731183335
1.7000000000061846,26.01686884511637,0.009953514567428,0.0158135675567831,0.0461944244662062,0.13148462837380243
1.8000000000065484,26.02141547613725,0.0357192059129465,0.015730198724561,0.0210587095449717,0.1329947135670022
1.900000000006912,26.01674160854522,-0.0069330215116132,0.0156468298923389,0.0151295125947729,0.14445189928856378
2.000000000007276,26.014985749733647,-0.0247317323616662,0.0157875268573719,0.0140114298337835,0.1653149557356033
2.10000000000764,26.02034749339657,0.0227133328536898,0.0159644742583619,-0.0033096358942794,0.16669802790536783
2.200000000008004,26.01855091911191,-0.0100307493426033,0.0162449293261371,-0.0353011526922567,0.16792438923522382
2.300000000008368,26.01985930958424,0.0064797677167609,0.0166970432676837,-0.0331821773081935,0.1669236229738343
2.400000000008731,26.02641637389157,0.0568565790287352,0.0171491572092304,-0.0308317360283929,0.19263249901162194
